,protein,p_value,concordance_index,hazard_ratio,CI_lower,CI_upper
0,LRG1,0.0008166221465186348,0.6107783485153871,1.3276944568762685,1.131062225123628,1.5585218922799138
1,IGFBP2,0.041431870720431634,0.5224803158525865,1.19047799204551,1.0113144615522878,1.4014070398040666
2,IGDCC4,0.04193337549944173,0.5580642185489192,0.83392095997307,0.7016946856437887,0.9911285210838648
